Timestamp,Emotion,EAR,YawnDistance,DrowsinessAlert,YawnAlert,FaceMissing
2025-12-18 11:20:30,Neutral,0.07,0.02,No,No,No
2025-12-18 11:20:31,Neutral,0.06,0.00,No,No,No
2025-12-18 11:20:31,Neutral,0.05,0.02,No,No,No
2025-12-18 11:20:31,Neutral,0.05,0.00,No,No,No
2025-12-18 11:20:31,Neutral,0.05,0.02,No,No,No
2025-12-18 11:20:31,Neutral,0.05,0.00,No,No,No
2025-12-18 11:20:31,Neutral,0.05,0.02,No,No,No
2025-12-18 11:20:31,Neutral,0.05,0.11,No,No,No
2025-12-18 11:20:31,Neutral,0.08,0.16,No,No,No
2025-12-18 11:20:31,Neutral,0.06,0.18,No,No,No
2025-12-18 11:20:31,Neutral,0.05,0.22,No,No,No
2025-12-18 11:20:31,Neutral,0.06,0.30,No,No,No
2025-12-18 11:20:32,Sad,0.06,0.33,No,No,No
2025-12-18 11:20:32,Fear,0.06,0.33,No,No,No
2025-12-18 11:20:32,Fear,0.05,0.33,No,No,No
2025-12-18 11:20:32,Fear,0.04,0.39,No,No,No
2025-12-18 11:20:32,Fear,0.06,0.40,No,No,No
2025-12-18 11:20:32,Fear,0.05,0.43,No,No,No
2025-12-18 11:20:32,Fear,0.07,0.44,No,No,No
2025-12-18 11:20:32,Fear,0.07,0.43,No,No,No
2025-12-18 11:20:32,Fear,0.05,0.38,No,No,No
2025-12-18 11:20:32,Fear,0.04,0.40,Yes,No,No
2025-12-18 11:20:32,Fear,0.06,0.40,Yes,No,No
2025-12-18 11:20:33,Angry,0.05,0.38,Yes,No,No
2025-12-18 11:20:33,Angry,0.07,0.36,Yes,No,No
2025-12-18 11:20:33,Angry,0.07,0.33,Yes,No,No
2025-12-18 11:20:33,Angry,0.06,0.38,Yes,No,No
2025-12-18 11:20:33,Angry,0.06,0.34,Yes,No,No
2025-12-18 11:20:33,Angry,0.08,0.41,Yes,No,No
2025-12-18 11:20:33,Angry,0.08,0.54,Yes,No,No
2025-12-18 11:20:33,Angry,0.08,0.59,Yes,No,No
2025-12-18 11:20:33,Angry,0.14,0.58,Yes,No,No
2025-12-18 11:20:33,Fear,0.15,0.49,Yes,No,No
2025-12-18 11:20:33,Fear,0.19,0.50,Yes,No,No
2025-12-18 11:20:34,Fear,0.19,0.49,Yes,No,No
2025-12-18 11:20:34,Fear,0.16,0.44,Yes,No,No
2025-12-18 11:20:34,Fear,0.15,0.33,Yes,No,No
2025-12-18 11:20:34,Sad,0.14,0.33,Yes,No,No
2025-12-18 11:20:34,Sad,0.10,0.33,Yes,No,No
2025-12-18 11:20:34,Sad,0.11,0.30,No,No,No
2025-12-18 11:20:34,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:34,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:34,Sad,0.16,0.30,No,No,No
2025-12-18 11:20:34,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:34,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:34,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:34,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:34,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:34,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:34,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:35,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:35,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:35,Sad,0.08,0.43,No,No,No
2025-12-18 11:20:35,Sad,0.10,0.41,No,No,No
2025-12-18 11:20:35,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:35,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:35,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:35,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:35,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:35,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:35,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:35,Sad,0.10,0.46,No,No,No
2025-12-18 11:20:35,Angry,0.11,0.46,No,No,No
2025-12-18 11:20:35,Angry,0.10,0.48,No,No,No
2025-12-18 11:20:35,Angry,0.11,0.44,No,No,No
2025-12-18 11:20:36,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:36,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:36,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:36,Angry,0.20,0.47,No,No,No
2025-12-18 11:20:36,Angry,0.21,0.37,No,No,No
